ConformationTimeStamp,ITQ_Value 7,ITQ_Value 11,ITQ_Value 35,ITQ_Value 63,ActiveBinding
adrb2_537800,NA,NA,NA,NA,NA
adrb2_538000,NA,NA,NA,NA,NA
adrb2_538200,NA,NA,NA,NA,NA
adrb2_538400,NA,NA,NA,NA,NA
adrb2_538600,NA,NA,NA,NA,NA
adrb2_539200,NA,NA,NA,NA,NA
adrb2_539400,NA,NA,NA,NA,NA
adrb2_539600,NA,NA,NA,NA,NA
adrb2_539800,NA,NA,NA,NA,NA
adrb2_540200,NA,NA,NA,NA,NA
adrb2_540400,NA,NA,NA,NA,NA
adrb2_540600,NA,NA,NA,NA,NA
adrb2_541000,NA,NA,NA,NA,NA
adrb2_541200,NA,NA,NA,NA,NA
