ConformationTimeStamp,ITQ_Value 7,ITQ_Value 11,ITQ_Value 35,ITQ_Value 63,ActiveBinding
adrb2_445400,NA,NA,NA,NA,NA
adrb2_445600,NA,NA,NA,NA,NA
adrb2_445800,NA,NA,NA,NA,NA
adrb2_446000,NA,NA,NA,NA,NA
adrb2_446200,NA,NA,NA,NA,NA
adrb2_446400,NA,NA,NA,NA,NA
adrb2_446600,3,7,(37),62,Y
adrb2_446800,NA,NA,NA,NA,NA
adrb2_447000,NA,NA,NA,NA,NA
adrb2_447200,NA,NA,NA,NA,NA
adrb2_447400,NA,NA,NA,NA,NA
adrb2_447600,NA,NA,NA,NA,NA
adrb2_447800,NA,NA,NA,NA,NA
adrb2_448000,NA,NA,NA,NA,NA
adrb2_448200,NA,NA,NA,NA,NA
adrb2_448400,NA,NA,NA,NA,NA
adrb2_448600,NA,NA,NA,NA,NA
adrb2_448800,5,8,(38),(66),Y
adrb2_449000,NA,NA,NA,NA,NA
adrb2_449200,NA,NA,NA,NA,NA
adrb2_449400,NA,NA,NA,NA,NA
adrb2_449600,NA,NA,NA,NA,NA
adrb2_449800,NA,NA,NA,NA,NA
adrb2_450000,NA,NA,NA,NA,NA
adrb2_450200,NA,NA,NA,NA,NA
adrb2_450400,NA,NA,NA,NA,NA
adrb2_450600,NA,NA,NA,NA,NA
adrb2_450800,NA,NA,NA,NA,NA
adrb2_451000,NA,NA,NA,NA,NA
adrb2_451200,NA,NA,NA,NA,NA
adrb2_451400,NA,NA,NA,NA,NA
adrb2_451600,NA,NA,NA,NA,NA
adrb2_451800,NA,NA,NA,NA,NA
adrb2_452000,NA,NA,NA,NA,NA
adrb2_452200,NA,NA,NA,NA,NA
adrb2_452400,NA,NA,NA,NA,NA
adrb2_452600,NA,NA,NA,NA,NA
adrb2_452800,NA,NA,NA,NA,NA
adrb2_453000,NA,NA,NA,NA,NA
adrb2_453200,NA,NA,NA,NA,NA
adrb2_453400,NA,NA,NA,NA,NA
adrb2_453600,NA,NA,NA,NA,NA
adrb2_453800,NA,NA,NA,NA,NA
adrb2_454000,NA,NA,NA,NA,NA
adrb2_454200,NA,NA,NA,NA,NA
adrb2_454400,NA,NA,NA,NA,NA
adrb2_454600,NA,NA,NA,NA,NA
adrb2_454800,NA,NA,NA,NA,NA
adrb2_455000,NA,NA,NA,NA,NA
adrb2_455200,NA,NA,NA,NA,NA
adrb2_455400,NA,NA,NA,NA,NA
adrb2_455600,NA,NA,NA,NA,NA
adrb2_455800,NA,NA,NA,NA,NA
adrb2_456000,NA,NA,NA,NA,NA
adrb2_456200,NA,NA,NA,NA,NA
adrb2_456400,NA,NA,NA,NA,NA
adrb2_456600,NA,NA,NA,NA,NA
adrb2_456800,NA,NA,NA,NA,NA
adrb2_457000,NA,NA,NA,NA,NA
adrb2_457200,NA,NA,NA,NA,NA
adrb2_457400,NA,NA,NA,NA,NA
adrb2_457600,NA,NA,NA,NA,NA
adrb2_457800,NA,NA,NA,NA,NA
adrb2_458000,NA,NA,NA,NA,NA
adrb2_458200,NA,NA,NA,NA,NA
adrb2_458400,NA,NA,NA,NA,NA
adrb2_458600,NA,NA,NA,NA,NA
adrb2_458800,NA,NA,NA,NA,NA
